jurisdiccion,fecha,salario_promedio
Río Negro,2022-06-01,201374.96698796932
Salta,2022-06-01,165351.25457965405
San Juan,2022-06-01,177028.23012311145
San Luis,2022-06-01,191761.7773838695
Santa Cruz,2022-06-01,409142.39392413915
Santa Fe,2022-06-01,195211.46624916475
Santiago del Estero,2022-06-01,134516.85363522853
Tierra del Fuego,2022-06-01,281163.61182315403
Tucumán,2022-06-01,143584.91320677957
Buenos Aires,2022-07-01,154519.68237234346
C.A.B.A.,2022-07-01,187877.4124419232
Catamarca,2022-07-01,117224.68801159937
Chaco,2022-07-01,110161.84232675546
Chubut,2022-07-01,255311.89890956294
Corrientes,2022-07-01,112143.50574818999
Córdoba,2022-07-01,132323.6997262744
Entre Ríos,2022-07-01,123173.80388881042
Formosa,2022-07-01,115425.05246795867
Jujuy,2022-07-01,126024.81262411762
La Pampa,2022-07-01,132128.90917677892
La Rioja,2022-07-01,114792.22414064483
Mendoza,2022-07-01,122588.44216942746
Misiones,2022-07-01,104299.73333811811
Neuquén,2022-07-01,252122.13117339378
Río Negro,2022-07-01,148836.02815667426
Salta,2022-07-01,123770.18746365323
San Juan,2022-07-01,130702.25115427756
San Luis,2022-07-01,142775.55929838977
Santa Cruz,2022-07-01,310943.0967074579
Santa Fe,2022-07-01,144438.1401674619
Santiago del Estero,2022-07-01,100447.07190627659
Tierra del Fuego,2022-07-01,209965.64694655832
Tucumán,2022-07-01,106612.16194613471
Buenos Aires,2022-08-01,165442.5454888767
C.A.B.A.,2022-08-01,198283.42586573673
Catamarca,2022-08-01,128981.29611192536
Chaco,2022-08-01,120165.27657081037
Chubut,2022-08-01,270832.75295951
Corrientes,2022-08-01,121753.71365893768
Córdoba,2022-08-01,141288.82753303053
Entre Ríos,2022-08-01,135801.36564353653
Formosa,2022-08-01,125111.79661820257
Jujuy,2022-08-01,134855.0549726513
La Pampa,2022-08-01,143512.44421564956
La Rioja,2022-08-01,125033.56923963835
Mendoza,2022-08-01,132855.07024734313
Misiones,2022-08-01,114195.47465373235
Neuquén,2022-08-01,270939.7783966142
Río Negro,2022-08-01,164312.61701820395
Salta,2022-08-01,133996.54273546668
San Juan,2022-08-01,138672.74901582277
San Luis,2022-08-01,150680.7204870148
Santa Cruz,2022-08-01,333095.6219199639
Santa Fe,2022-08-01,155359.610951952
Santiago del Estero,2022-08-01,108471.78741315105
Tierra del Fuego,2022-08-01,214707.51511995855
Tucumán,2022-08-01,115514.35163744951
Buenos Aires,2022-09-01,180694.58213643034
C.A.B.A.,2022-09-01,212139.42609474962
Catamarca,2022-09-01,138277.77954307428
Chaco,2022-09-01,127650.91718127404
Chubut,2022-09-01,286862.38593596313
Corrientes,2022-09-01,127865.82545846904
